"","max_ord","max_r","algorithm"
"571",285,"n","Q"
"572",336,"n","Q"
"573",270,"n","Q"
"574",207,"n","Q"
"575",224,"n","Q"
"576",263,"n","Q"
"577",334,"n","Q"
"578",268,"n","Q"
"579",414,"n","Q"
"580",235,"n","Q"
"581",275,"n","Q"
"582",243,"n","Q"
"583",228,"n","Q"
"584",230,"n","Q"
"585",499,"n","Q"
"586",349,"n","Q"
"587",259,"n","Q"
"588",336,"n","Q"
"589",271,"n","Q"
"590",183,"n","Q"
"591",321,"n","Q"
"592",385,"n","Q"
"593",319,"n","Q"
"594",208,"n","Q"
"595",303,"n","Q"
"596",244,"n","Q"
"597",298,"n","Q"
"598",382,"n","Q"
"599",422,"n","Q"
"600",381,"n","M"
"601",190,"n","M"
"602",175,"n","M"
"603",214,"n","M"
"604",209,"n","M"
"605",192,"n","M"
"606",210,"n","M"
"607",227,"n","M"
"608",231,"n","M"
"609",184,"n","M"
"610",213,"n","M"
"611",215,"n","M"
"612",175,"n","M"
"613",253,"n","M"
"614",279,"n","M"
"615",238,"n","M"
"616",179,"n","M"
"617",209,"n","M"
"618",235,"n","M"
"619",289,"n","M"
"620",187,"n","M"
"621",407,"n","M"
"622",207,"n","M"
"623",304,"n","M"
"624",192,"n","M"
"625",278,"n","M"
"626",290,"n","M"
"627",251,"n","M"
"628",304,"n","M"
"629",268,"n","M"
"630",340,"n","M"
"631",239,"n","M"
"632",189,"n","M"
"633",525,"n","M"
"634",312,"n","M"
"635",227,"n","M"
"636",308,"n","M"
"637",262,"n","M"
"638",330,"n","M"
"639",285,"n","M"
"640",262,"n","M"
"641",327,"n","M"
"642",350,"n","M"
"643",288,"n","M"
"644",345,"n","M"
"645",304,"n","M"
"646",265,"n","M"
"647",285,"n","M"
"648",308,"n","M"
"649",272,"n","M"
"650",322,"n","M"
"651",352,"n","M"
"652",308,"n","M"
"653",515,"n","M"
"654",449,"n","M"
"655",517,"n","M"
"656",370,"n","M"
"657",343,"n","M"
"658",492,"n","M"
"659",222,"n","M"
"660",334,"n","M"
"661",368,"n","M"
"662",441,"n","M"
"663",383,"n","M"
"664",358,"n","M"
"665",223,"n","M"
"666",283,"n","M"
"667",442,"n","M"
"668",522,"n","M"
"669",577,"n","M"
"670",424,"n","M"
"671",419,"n","M"
"672",288,"n","M"
"673",335,"n","M"
"674",452,"n","M"
"675",254,"n","M"
"676",213,"n","M"
"677",184,"n","M"
"678",226,"n","M"
"679",218,"n","M"
"680",278,"n","M"
"681",205,"n","M"
"682",279,"n","M"
"683",298,"n","M"
"684",314,"n","M"
"685",254,"n","M"
"686",192,"n","M"
"687",211,"n","M"
"688",184,"n","M"
"689",313,"n","M"
"690",158,"n","M"
"691",226,"n","M"
"692",161,"n","M"
"693",187,"n","M"
"694",248,"n","M"
"695",328,"n","M"
"696",223,"n","M"
"697",201,"n","M"
"698",254,"n","M"
"699",219,"n","M"
"700",178,"n","I"
"701",53,"n","I"
"702",49,"n","I"
"703",78,"n","I"
"704",57,"n","I"
"705",51,"n","I"
"706",53,"n","I"
"707",72,"n","I"
"708",90,"n","I"
"709",54,"n","I"
"710",82,"n","I"
"711",69,"n","I"
"712",49,"n","I"
"713",47,"n","I"
"714",56,"n","I"
"715",60,"n","I"
"716",69,"n","I"
"717",62,"n","I"
"718",70,"n","I"
"719",49,"n","I"
"720",44,"n","I"
"721",76,"n","I"
"722",83,"n","I"
"723",68,"n","I"
"724",78,"n","I"
"725",75,"n","I"
"726",64,"n","I"
"727",63,"n","I"
"728",64,"n","I"
"729",65,"n","I"
"730",75,"n","I"
"731",90,"n","I"
"732",78,"n","I"
"733",75,"n","I"
"734",61,"n","I"
"735",74,"n","I"
"736",100,"n","I"
"737",59,"n","I"
"738",88,"n","I"
"739",71,"n","I"
"740",133,"n","I"
"741",93,"n","I"
"742",66,"n","I"
"743",85,"n","I"
"744",56,"n","I"
"745",58,"n","I"
"746",51,"n","I"
"747",68,"n","I"
"748",64,"n","I"
"749",59,"n","I"
"750",47,"n","I"
"751",67,"n","I"
"752",54,"n","I"
"753",62,"n","I"
"754",66,"n","I"
"755",74,"n","I"
"756",68,"n","I"
"757",60,"n","I"
"758",62,"n","I"
"759",47,"n","I"
"760",72,"n","I"
"761",64,"n","I"
"762",58,"n","I"
"763",74,"n","I"
"764",79,"n","I"
"765",99,"n","I"
"766",62,"n","I"
"767",55,"n","I"
"768",96,"n","I"
"769",69,"n","I"
"770",59,"n","I"
"771",58,"n","I"
"772",71,"n","I"
"773",79,"n","I"
"774",61,"n","I"
"775",64,"n","I"
"776",90,"n","I"
"777",105,"n","I"
"778",63,"n","I"
"779",77,"n","I"
"780",95,"n","I"
"781",59,"n","I"
"782",63,"n","I"
"783",66,"n","I"
"784",61,"n","I"
"785",87,"n","I"
"786",83,"n","I"
"787",45,"n","I"
"788",69,"n","I"
"789",73,"n","I"
"790",63,"n","I"
"791",78,"n","I"
"792",44,"n","I"
"793",59,"n","I"
"794",65,"n","I"
"795",73,"n","I"
"796",91,"n","I"
"797",70,"n","I"
"798",60,"n","I"
"799",55,"n","I"
"800",72,"n","I"
"801",962,"n/2","B"
"802",962,"n/2","B"
"803",988,"n/2","B"
"804",763,"n/2","B"
"805",481,"n/2","B"
"806",481,"n/2","B"
"807",481,"n/2","B"
"808",481,"n/2","B"
"809",763,"n/2","B"
"810",763,"n/2","B"
"811",860,"n/2","B"
"812",763,"n/2","B"
"813",481,"n/2","B"
"814",481,"n/2","B"
"815",481,"n/2","B"
"816",763,"n/2","B"
"817",988,"n/2","B"
"818",860,"n/2","B"
"819",481,"n/2","B"
"820",860,"n/2","B"
"821",481,"n/2","B"
"822",768,"n/2","B"
"823",978,"n/2","B"
"824",921,"n/2","B"
"825",978,"n/2","B"
"826",998,"n/2","B"
"827",921,"n/2","B"
"828",768,"n/2","B"
"829",978,"n/2","B"
"830",1000,"n/2","B"
"831",613,"n/2","B"
"832",978,"n/2","B"
"833",857,"n/2","B"
"834",998,"n/2","B"
"835",768,"n/2","B"
"836",768,"n/2","B"
"837",457,"n/2","B"
"838",921,"n/2","B"
"839",702,"n/2","B"
"840",921,"n/2","B"
"841",842,"n/2","B"
"842",586,"n/2","B"
"843",586,"n/2","B"
"844",842,"n/2","B"
"845",842,"n/2","B"
"846",586,"n/2","B"
"847",842,"n/2","B"
"848",586,"n/2","B"
"849",586,"n/2","B"
"850",976,"n/2","B"
"851",976,"n/2","B"
"852",586,"n/2","B"
"853",586,"n/2","B"
"854",586,"n/2","B"
"855",586,"n/2","B"
"856",842,"n/2","B"
"857",976,"n/2","B"
"858",976,"n/2","B"
"859",586,"n/2","B"
"860",710,"n/2","B"
"861",710,"n/2","B"
"862",710,"n/2","B"
"863",710,"n/2","B"
"864",710,"n/2","B"
"865",710,"n/2","B"
"866",710,"n/2","B"
"867",710,"n/2","B"
"868",710,"n/2","B"
"869",710,"n/2","B"
"870",710,"n/2","B"
"871",710,"n/2","B"
"872",710,"n/2","B"
"873",710,"n/2","B"
"874",710,"n/2","B"
"875",710,"n/2","B"
"876",710,"n/2","B"
"877",901,"n/2","B"
"878",999,"n/2","B"
"879",756,"n/2","B"
"880",445,"n/2","B"
"881",756,"n/2","B"
"882",756,"n/2","B"
"883",445,"n/2","B"
"884",445,"n/2","B"
"885",756,"n/2","B"
"886",445,"n/2","B"
"887",756,"n/2","B"
"888",445,"n/2","B"
"889",587,"n/2","B"
"890",445,"n/2","B"
"891",445,"n/2","B"
"892",445,"n/2","B"
"893",445,"n/2","B"
"894",445,"n/2","B"
"895",445,"n/2","B"
"896",445,"n/2","B"
"897",756,"n/2","B"
"898",547,"n/2","B"
"899",547,"n/2","B"
"900",901,"n/2","Q"
"901",412,"n/2","Q"
"902",529,"n/2","Q"
"903",364,"n/2","Q"
"904",224,"n/2","Q"
"905",264,"n/2","Q"
"906",330,"n/2","Q"
"907",305,"n/2","Q"
"908",543,"n/2","Q"
"909",523,"n/2","Q"
"910",468,"n/2","Q"
"911",464,"n/2","Q"
"912",772,"n/2","Q"
"913",381,"n/2","Q"
"914",593,"n/2","Q"
"915",299,"n/2","Q"
"916",407,"n/2","Q"
"917",359,"n/2","Q"
"918",265,"n/2","Q"
"919",422,"n/2","Q"
"920",438,"n/2","Q"
"921",402,"n/2","Q"
"922",416,"n/2","Q"
"923",426,"n/2","Q"
"924",385,"n/2","Q"
"925",296,"n/2","Q"
"926",421,"n/2","Q"
"927",404,"n/2","Q"
"928",347,"n/2","Q"
"929",368,"n/2","Q"
"930",338,"n/2","Q"
"931",270,"n/2","Q"
"932",207,"n/2","Q"
"933",377,"n/2","Q"
"934",170,"n/2","Q"
"935",290,"n/2","Q"
"936",232,"n/2","Q"
"937",432,"n/2","Q"
"938",313,"n/2","Q"
"939",194,"n/2","Q"
"940",359,"n/2","Q"
"941",287,"n/2","Q"
"942",242,"n/2","Q"
"943",359,"n/2","Q"
"944",277,"n/2","Q"
"945",273,"n/2","Q"
"946",218,"n/2","Q"
"947",216,"n/2","Q"
"948",395,"n/2","Q"
"949",310,"n/2","Q"
"950",170,"n/2","Q"
"951",312,"n/2","Q"
"952",331,"n/2","Q"
"953",354,"n/2","Q"
"954",227,"n/2","Q"
"955",331,"n/2","Q"
"956",345,"n/2","Q"
"957",346,"n/2","Q"
"958",219,"n/2","Q"
"959",287,"n/2","Q"
"960",455,"n/2","Q"
"961",301,"n/2","Q"
"962",258,"n/2","Q"
"963",364,"n/2","Q"
"964",351,"n/2","Q"
"965",423,"n/2","Q"
"966",171,"n/2","Q"
"967",214,"n/2","Q"
"968",289,"n/2","Q"
"969",241,"n/2","Q"
"970",289,"n/2","Q"
"971",260,"n/2","Q"
"972",231,"n/2","Q"
"973",233,"n/2","Q"
"974",340,"n/2","Q"
"975",294,"n/2","Q"
"976",229,"n/2","Q"
"977",398,"n/2","Q"
