"","max_ord","n","algorithm"
"585",1677,10000,"Q"
"586",2744,10000,"Q"
"587",2030,10000,"Q"
"588",1462,10000,"Q"
"589",1731,10000,"Q"
"590",1753,10000,"Q"
"591",1075,10000,"Q"
"592",1770,10000,"Q"
"593",1441,10000,"Q"
"594",2071,10000,"Q"
"595",1584,10000,"Q"
"596",1870,10000,"Q"
"597",1313,10000,"Q"
"598",1981,10000,"Q"
"599",2096,10000,"Q"
"600",1470,10000,"Q"
"601",17,100,"I"
"602",16,100,"I"
"603",15,100,"I"
"604",17,100,"I"
"605",23,100,"I"
"606",16,100,"I"
"607",19,100,"I"
"608",14,100,"I"
"609",19,100,"I"
"610",21,100,"I"
"611",23,100,"I"
"612",19,100,"I"
"613",19,100,"I"
"614",13,100,"I"
"615",19,100,"I"
"616",25,100,"I"
"617",25,100,"I"
"618",23,100,"I"
"619",14,100,"I"
"620",26,100,"I"
"621",18,100,"I"
"622",19,100,"I"
"623",23,100,"I"
"624",18,100,"I"
"625",23,100,"I"
"626",23,100,"I"
"627",12,100,"I"
"628",20,100,"I"
"629",19,100,"I"
"630",23,100,"I"
"631",20,100,"I"
"632",24,100,"I"
"633",17,100,"I"
"634",13,100,"I"
"635",21,100,"I"
"636",19,100,"I"
"637",23,100,"I"
"638",20,100,"I"
"639",14,100,"I"
"640",18,100,"I"
"641",15,100,"I"
"642",17,100,"I"
"643",19,100,"I"
"644",25,100,"I"
"645",14,100,"I"
"646",20,100,"I"
"647",19,100,"I"
"648",20,100,"I"
"649",12,100,"I"
"650",22,100,"I"
"651",23,100,"I"
"652",27,100,"I"
"653",19,100,"I"
"654",33,100,"I"
"655",21,100,"I"
"656",21,100,"I"
"657",29,100,"I"
"658",17,100,"I"
"659",16,100,"I"
"660",21,100,"I"
"661",19,100,"I"
"662",22,100,"I"
"663",26,100,"I"
"664",14,100,"I"
"665",15,100,"I"
"666",15,100,"I"
"667",18,100,"I"
"668",19,100,"I"
"669",18,100,"I"
"670",16,100,"I"
"671",15,100,"I"
"672",16,100,"I"
"673",23,100,"I"
"674",23,100,"I"
"675",18,100,"I"
"676",26,100,"I"
"677",16,100,"I"
"678",22,100,"I"
"679",23,100,"I"
"680",19,100,"I"
"681",21,100,"I"
"682",28,100,"I"
"683",20,100,"I"
"684",22,100,"I"
"685",21,100,"I"
"686",15,100,"I"
"687",18,100,"I"
"688",25,100,"I"
"689",18,100,"I"
"690",19,100,"I"
"691",31,100,"I"
"692",21,100,"I"
"693",17,100,"I"
"694",21,100,"I"
"695",28,100,"I"
"696",19,100,"I"
"697",24,100,"I"
"698",25,100,"I"
"699",16,100,"I"
"700",18,1000,"I"
"701",113,1000,"I"
"702",80,1000,"I"
"703",65,1000,"I"
"704",61,1000,"I"
"705",95,1000,"I"
"706",101,1000,"I"
"707",110,1000,"I"
"708",60,1000,"I"
"709",67,1000,"I"
"710",60,1000,"I"
"711",66,1000,"I"
"712",88,1000,"I"
"713",63,1000,"I"
"714",48,1000,"I"
"715",111,1000,"I"
"716",68,1000,"I"
"717",65,1000,"I"
"718",63,1000,"I"
"719",65,1000,"I"
"720",106,1000,"I"
"721",53,1000,"I"
"722",92,1000,"I"
"723",67,1000,"I"
"724",78,1000,"I"
"725",52,1000,"I"
"726",46,1000,"I"
"727",91,1000,"I"
"728",75,1000,"I"
"729",79,1000,"I"
"730",78,1000,"I"
"731",81,1000,"I"
"732",70,1000,"I"
"733",70,1000,"I"
"734",89,1000,"I"
"735",72,1000,"I"
"736",95,1000,"I"
"737",62,1000,"I"
"738",78,1000,"I"
"739",63,1000,"I"
"740",85,1000,"I"
"741",136,1000,"I"
"742",85,1000,"I"
"743",72,1000,"I"
"744",87,1000,"I"
"745",86,1000,"I"
"746",109,1000,"I"
"747",56,1000,"I"
"748",91,1000,"I"
"749",117,1000,"I"
"750",100,1000,"I"
"751",59,1000,"I"
"752",99,1000,"I"
"753",49,1000,"I"
"754",112,1000,"I"
"755",123,1000,"I"
"756",78,1000,"I"
"757",112,1000,"I"
"758",92,1000,"I"
"759",65,1000,"I"
"760",89,1000,"I"
"761",57,1000,"I"
"762",85,1000,"I"
"763",102,1000,"I"
"764",81,1000,"I"
"765",75,1000,"I"
"766",71,1000,"I"
"767",57,1000,"I"
"768",91,1000,"I"
"769",63,1000,"I"
"770",96,1000,"I"
"771",89,1000,"I"
"772",82,1000,"I"
"773",88,1000,"I"
"774",74,1000,"I"
"775",66,1000,"I"
"776",64,1000,"I"
"777",56,1000,"I"
"778",85,1000,"I"
"779",115,1000,"I"
"780",71,1000,"I"
"781",52,1000,"I"
"782",82,1000,"I"
"783",45,1000,"I"
"784",92,1000,"I"
"785",123,1000,"I"
"786",66,1000,"I"
"787",54,1000,"I"
"788",51,1000,"I"
"789",79,1000,"I"
"790",83,1000,"I"
"791",66,1000,"I"
"792",74,1000,"I"
"793",90,1000,"I"
"794",71,1000,"I"
"795",80,1000,"I"
"796",68,1000,"I"
"797",65,1000,"I"
"798",56,1000,"I"
"799",75,1000,"I"
"800",59,10000,"I"
"801",305,10000,"I"
"802",205,10000,"I"
"803",254,10000,"I"
"804",233,10000,"I"
"805",257,10000,"I"
"806",287,10000,"I"
"807",254,10000,"I"
"808",232,10000,"I"
"809",274,10000,"I"
"810",247,10000,"I"
"811",206,10000,"I"
"812",229,10000,"I"
"813",233,10000,"I"
"814",352,10000,"I"
"815",306,10000,"I"
"816",248,10000,"I"
"817",204,10000,"I"
"818",275,10000,"I"
"819",214,10000,"I"
"820",233,10000,"I"
"821",234,10000,"I"
"822",250,10000,"I"
"823",227,10000,"I"
"824",222,10000,"I"
"825",229,10000,"I"
"826",316,10000,"I"
"827",222,10000,"I"
"828",279,10000,"I"
"829",309,10000,"I"
"830",223,10000,"I"
"831",321,10000,"I"
"832",304,10000,"I"
"833",321,10000,"I"
"834",213,10000,"I"
"835",242,10000,"I"
"836",213,10000,"I"
"837",416,10000,"I"
"838",186,10000,"I"
"839",270,10000,"I"
"840",195,10000,"I"
"841",204,10000,"I"
"842",297,10000,"I"
"843",236,10000,"I"
"844",264,10000,"I"
"845",331,10000,"I"
"846",273,10000,"I"
"847",256,10000,"I"
"848",253,10000,"I"
"849",241,10000,"I"
"850",217,10000,"I"
"851",300,10000,"I"
"852",284,10000,"I"
"853",268,10000,"I"
"854",231,10000,"I"
"855",226,10000,"I"
"856",242,10000,"I"
"857",232,10000,"I"
"858",274,10000,"I"
"859",220,10000,"I"
"860",240,10000,"I"
"861",312,10000,"I"
"862",219,10000,"I"
"863",370,10000,"I"
"864",230,10000,"I"
"865",178,10000,"I"
"866",257,10000,"I"
"867",279,10000,"I"
"868",228,10000,"I"
"869",251,10000,"I"
"870",208,10000,"I"
"871",226,10000,"I"
"872",273,10000,"I"
"873",206,10000,"I"
"874",201,10000,"I"
"875",418,10000,"I"
"876",267,10000,"I"
"877",272,10000,"I"
"878",272,10000,"I"
"879",315,10000,"I"
"880",288,10000,"I"
"881",246,10000,"I"
"882",270,10000,"I"
"883",300,10000,"I"
"884",194,10000,"I"
"885",218,10000,"I"
"886",295,10000,"I"
"887",261,10000,"I"
"888",214,10000,"I"
"889",251,10000,"I"
"890",257,10000,"I"
"891",194,10000,"I"
"892",253,10000,"I"
"893",200,10000,"I"
"894",355,10000,"I"
"895",270,10000,"I"
"896",267,10000,"I"
"897",198,10000,"I"
"898",226,10000,"I"
"899",204,10000,"I"
"900",423,10000,"I"
"901",52,100,"M"
"902",33,100,"M"
"903",41,100,"M"
"904",43,100,"M"
"905",29,100,"M"
"906",39,100,"M"
"907",33,100,"M"
"908",35,100,"M"
"909",54,100,"M"
"910",53,100,"M"
"911",32,100,"M"
"912",36,100,"M"
"913",28,100,"M"
"914",31,100,"M"
"915",68,100,"M"
"916",36,100,"M"
"917",24,100,"M"
"918",28,100,"M"
"919",55,100,"M"
"920",36,100,"M"
"921",28,100,"M"
"922",48,100,"M"
"923",37,100,"M"
"924",42,100,"M"
"925",50,100,"M"
"926",29,100,"M"
"927",35,100,"M"
"928",33,100,"M"
"929",36,100,"M"
"930",46,100,"M"
"931",34,100,"M"
"932",55,100,"M"
"933",33,100,"M"
"934",26,100,"M"
"935",29,100,"M"
"936",32,100,"M"
"937",40,100,"M"
"938",27,100,"M"
"939",33,100,"M"
"940",49,100,"M"
"941",63,100,"M"
"942",49,100,"M"
"943",44,100,"M"
"944",48,100,"M"
"945",42,100,"M"
"946",35,100,"M"
"947",38,100,"M"
"948",54,100,"M"
"949",39,100,"M"
"950",45,100,"M"
"951",40,100,"M"
"952",43,100,"M"
"953",46,100,"M"
"954",36,100,"M"
"955",34,100,"M"
"956",68,100,"M"
"957",44,100,"M"
"958",24,100,"M"
"959",56,100,"M"
"960",49,100,"M"
"961",38,100,"M"
"962",42,100,"M"
